-4104323.9067805232	  inf
-3418209.1443155040	1.67169e-01
-3262171.8232117766	4.56489e-02
-3192927.4108625255	2.12265e-02
-3156841.4904911583	1.13018e-02
-3136699.9487185031	6.38028e-03
-3124840.3933427003	3.78090e-03
-3117000.6835605549	2.50884e-03
-3111679.5831773197	1.70712e-03
-3107816.0990448939	1.24161e-03
-3104713.9929921543	9.98163e-04
-3102304.6539206160	7.76026e-04
-3100362.0094817025	6.26194e-04
-3098601.8571704892	5.67725e-04
-3097053.0108002895	4.99853e-04
-3095785.8333730865	4.09156e-04
-3094698.4398963945	3.51250e-04
-3093688.1764851171	3.26450e-04
-3092828.0602658605	2.78023e-04
-3092095.8884174763	2.36732e-04
-3091403.5187177295	2.23916e-04
-3090785.0021305438	2.00076e-04
-3090162.6972098742	2.01342e-04
-3089631.1515121972	1.72012e-04
-3089120.9537061527	1.65132e-04
-3088704.4903930929	1.34816e-04
-3088237.9471178879	1.51048e-04
-3087851.0193607109	1.25291e-04
-3087511.2989736805	1.10018e-04
-3087206.3344846480	9.87736e-05
