-3987798.3502366594	  inf
-3335126.7248954782	1.63667e-01
-3249261.2417697464	2.57458e-02
-3227942.4062229102	6.56113e-03
-3219351.3373382557	2.66147e-03
-3214744.7304457701	1.43091e-03
-3211822.0563311963	9.09147e-04
-3209749.6229066225	6.45252e-04
-3208332.0268917768	4.41653e-04
-3207227.5565628358	3.44251e-04
-3206343.9956474798	2.75491e-04
-3205616.7417988186	2.26817e-04
-3204997.5982168308	1.93143e-04
-3204471.1764198514	1.64250e-04
-3204031.3449672433	1.37256e-04
-3203602.5663369941	1.33825e-04
-3203241.3068789444	1.12767e-04
-3202944.5335642272	9.26478e-05
